cna_event	chr	arm	start	end
wgd				
focal_gain	4	4p	438435	29584601
chromosome_gain	21		0	46709983
chromosome_gain	2		0	242193529
chromosome_loss	14		0	107043718
focal_gain	13	13p	265735	16766752
chromosome_gain	6		0	170805979
focal_loss	18	18q	25573422	61242974
focal_loss	17	17p	2173487	20174919
focal_loss	3	3p	4802594	26219561
arm_gain	15	15p	0	19000000
arm_gain	9	9q	43000000	138394717
chromosome_loss	9		0	138394717
focal_loss	14	14p	215030	16834816
focal_gain	7	7p	1444172	56027322
chromosome_loss	1		0	248956422
chromosome_loss	22		0	50818468
chromosome_loss	21		0	46709983
arm_loss	4	4q	50000000	190214555
arm_gain	11	11q	53400000	135086622
